Company Name,Position,Location,Date Posted,Job URL,Time Span
Ryder,Furniture Home Delivery,"Spokane, WA",,https://www.indeed.com/rc/clk?jk=d86e350c5a6288a9&bb=ApmKX9CzP8w3kBkB6gS2TauEf-hS8n3eJgFdWe-b0Km8Y6k9hRRO9OP90miXzII92dzh4221lyj-W9fwqnUNjfmFjHa9YDbu5S_u0T8C_XHIPf4cq7W7jA%3D%3D&xkcb=SoCk67M34k7rfbyMaB0MbzkdCdPP&fccid=22f3171d623451cc&vjs=3,7Days
The Church of Jesus Christ of Latter-day Saints,Admin Assistant 1,"Spokane, WA 99202 
(Logan area)",,https://www.indeed.com/rc/clk?jk=44e9a3aa2e0bae1f&bb=ApmKX9CzP8w3kBkB6gS2TROhZBEj11Me6BHTwJOoVMhqbCCgJ7s_rpfwz6oMKVeTzFEkZGr7ge9qddDkqatPpPoJgWx0XJmVRLhUGy--DA6u3qCMKxO_cmEPZaPRmQfq&xkcb=SoBe67M34k7rfbyMaB0HbzkdCdPP&fccid=7e408d96768a4a43&vjs=3,7Days
Starbucks,"barista - Store# 08935, SPRAGUE AND PINES","Spokane, WA 99216",,https://www.indeed.com/rc/clk?jk=b73f570235b2596e&bb=fxy9bImZqllHz8EPVXY3txLBiBKfBioj61nMq7OjG-VO_Jy1i0Cj0mFAwBIrFrY1um-IJV1t3P8nVoij5yXOE147u1Rl0EHzHDImsATgjNv4NsybbxudRw%3D%3D&xkcb=SoCg67M34k77nBygAJ0ObzkdCdPP&fccid=a88e611ddef97571&vjs=3,7Days
KFC,Team Member,"Spokane, WA 99223 
(Lincoln Heights area)",,https://www.indeed.com/rc/clk?jk=ee716e76cfdaf496&bb=LenZbkxiXH6v4PZd_fOWgcsFew1DqHki7_9KCTlUJLWdxKdDAq8AUKawF-4aM2Mx_lilkNI9_ia0feQenTQOhLnRN41BKheYAdMLXPTAJiuIO8kYsSNOng%3D%3D&xkcb=SoB-67M34k8LyUyT9B0CbzkdCdPP&fccid=6e61d88a654c1d08&vjs=3,7Days
Stryker,"Foot & Ankle Sales Representative - Spokane, WA","Spokane, WA 99201",,https://www.indeed.com/rc/clk?jk=b6f38fa61c1ee636&bb=LenZbkxiXH6v4PZd_fOWgdC3tqTXav6fP2myUrqyyncKA8m4gfPDecOQSgN0sly1KTJPSKQyk5EAz04sjM_nLE9zRMO5vFYKelDIWK0WTAnCS_RJ1uP5Bg%3D%3D&xkcb=SoBt67M34k8LyUyT9B0GbzkdCdPP&fccid=9d4dbca3ed8b9cdf&vjs=3,7Days
Spokane Public Schools,"PARAEDUCATOR - STUDENT @ JEFFERSON ELEMENTARY SCHOOL, 7 HRS, CONT.","Spokane, WA 99201 
(Riverside area)",,https://www.indeed.com/rc/clk?jk=a834782272b84d92&bb=TyR72OBlgZqsx27KG-piDD-9tIi7Btp99BcuPQL5lx6020DZy6B5PRI71itqQiPXABVVg0904n_rUbnrdvGnMQBG2QXHd2W1YdtrCtYDiyROp-Gg2ko9ud0plvi3BMN-&xkcb=SoBx67M34k8cCuyNgB0HbzkdCdPP&fccid=0e2e0e63453718f2&vjs=3,7Days
Frontier Behavioral Health,Clinician II - Forensic Projects for Assistance in Transition from Homelessness (FPATH),"Spokane, WA 99202 
(East Central area)",,https://www.indeed.com/rc/clk?jk=0beba492e4a74588&bb=6fE37MnkklienB46eUOenZHH3rl3_DzGzDcDRPgC4oftDFhVZsnvBGSl46nBrrd3AaemF0lGVVn5nLNMUI4IbE70sE4oCFTyB1aVo4y3bF2Hciy8YqgA1Tel_s4e_zDv&xkcb=SoD867M34k8sccS4Rh0LbzkdCdPP&fccid=da637bbbdbf2868f&vjs=3,7Days
Loram Maintenance of Way,Machine Operator - 1 - TM,"Spokane, WA 99201",,https://www.indeed.com/rc/clk?jk=8195e42e9c5504ee&bb=6fE37MnkklienB46eUOenaqNvsrMDEgrZC0nnsAlOo5_GMCXP_0UH-QBJHyJXG72PaqRbcMyQJjJp-yESPL4sZG4GVWzz0Yl4vbO_XjAMuhS78gI5q7k5G5giQDNDBsG&xkcb=SoAv67M34k8sccS4Rh0CbzkdCdPP&fccid=69b6e68d79e1af79&vjs=3,7Days
U.S. Department of Justice,Special Assistant United States Attorney (SAUSA) City of Spokane,"Spokane, WA 99201 
(Riverside area)",,https://www.indeed.com/rc/clk?jk=f30420840e33c7eb&bb=dFbcvoo46qjpKOr8ov1GUO5isCY5CW9UyHn18CXCGqvIxbQg7YyBwhTDK7e4o6AkVO--qQZrzfoPR3mxATZb1cDmwwb6KuMcIAGqTFpwoPVQFUwc_RQHJ8gObTN9ocq0&xkcb=SoBL67M34k88z4S4Qh0HbzkdCdPP&fccid=a82ba43bbfe2b26b&vjs=3,7Days
"Impact Valuation Group, LLC",Certified Real Estate Appraiser,"Remote in Spokane, WA",,https://www.indeed.com/rc/clk?jk=2cc00ce7c7dd392e&bb=cDRnWEKyX47C1lWfzxqMIkMXEfQ7_CdcJ7-GF_bERL6qANhAy_R5V_j9cEAp-iOdYCv_tuBziIIC04DlCNYhuIk3fY6Gaoo9FrKP_By1yes0cNMlXdsczrmZfQzWfVD9&xkcb=SoAC67M34k-FUZSMch0KbzkdCdPP&fccid=34c2d9f41341a832&vjs=3,7Days
